Overall AQI Value,CO,Ozone,PM10,PM25,NO2
38,3,38,15,33,10
36,6,34,19,28,36
55,6,30,40,55,41
51,3,24,29,51,27
52,3,31,44,52,21
38,6,30,37,38,27
48,6,25,42,48,36
52,5,23,28,52,25
48,7,34,28,48,21
36,5,34,35,36,32
50,5,27,43,50,43
50,7,23,41,50,36
58,11,35,30,58,41
39,6,39,19,38,20
41,3,37,19,39,41
60,7,30,46,60,41
56,6,30,31,56,28
51,3,28,31,51,38
40,5,31,39,40,21
37,5,31,31,31,37
50,6,27,45,50,48
48,5,34,40,48,24
42,5,38,26,40,42
47,5,31,22,47,33
39,6,33,36,39,38
68,7,28,48,68,44
44,3,32,43,44,37
45,5,31,28,45,42
57,5,30,45,57,37
65,6,34,49,65,38
94,6,31,56,94,47
75,6,27,43,75,36
44,5,29,18,44,20
35,5,32,19,35,17
48,6,33,22,48,42
64,5,34,40,64,35
62,3,44,40,62,27
66,5,31,44,66,40
69,5,33,44,69,39
45,5,33,27,45,32
34,5,32,27,34,30
36,3,31,19,36,29
35,3,35,28,20,17
37,6,37,25,29,27
53,6,30,36,53,31
68,3,37,47,68,37
63,3,37,35,63,31
54,3,35,21,54,20
40,5,40,29,38,35
52,3,39,45,52,19
43,5,43,30,31,41
61,6,35,39,61,45
38,6,29,18,35,38
40,5,40,26,29,23
38,3,38,21,38,24
40,5,35,25,40,33
54,5,40,33,54,35
58,8,44,41,58,58
62,9,38,47,62,60
54,5,41,44,54,38
61,5,40,44,61,42
39,3,39,17,25,28
41,6,38,40,39,41
52,6,51,41,52,31
39,5,39,19,38,25
38,3,38,19,33,24
42,3,41,32,40,42
51,3,39,32,51,42
43,3,43,20,35,21
40,3,40,26,38,32
37,5,37,24,22,20
46,6,42,26,30,46
51,6,51,48,46,43
63,6,44,36,63,42
122,10,122,66,70,56
83,6,48,57,83,46
53,6,44,23,53,25
34,6,31,17,30,34
49,8,42,30,37,49
59,10,49,55,59,53
44,6,44,31,44,42
43,6,30,23,43,33
30,5,30,16,24,28
32,5,32,20,26,25
30,3,30,19,25,17
38,5,38,19,20,37
40,5,40,23,23,38
50,3,37,50,45,32
49,6,29,31,49,35
32,7,32,16,25,26
43,9,42,27,37,43
43,9,31,29,43,42
60,6,37,25,60,32
42,6,29,25,42,27
70,8,34,44,70,32
41,6,39,28,35,41
29,3,29,25,27,25
30,6,30,18,24,26
40,8,40,22,32,39
46,8,46,30,35,41
46,7,37,43,46,45
64,8,45,64,55,51
40,6,27,24,40,23
53,6,35,53,34,25
44,5,38,44,33,27
36,7,36,21,25,25
38,6,38,19,28,35
38,5,31,25,38,30
37,6,37,25,36,36
45,6,38,36,45,28
46,7,43,25,30,46
52,8,37,34,52,41
53,6,45,43,53,30
44,6,37,24,44,15
30,5,30,23,23,27
57,3,38,24,57,22
38,3,38,21,23,33
39,5,31,39,32,27
54,5,46,54,48,29
48,6,45,31,48,21
30,6,30,18,28,19
33,5,33,25,32,27
43,5,31,19,43,23
29,3,29,18,24,22
53,6,38,30,53,31
41,5,41,18,41,17
48,3,48,20,36,28
46,6,46,28,43,40
54,6,49,54,35,29
62,7,54,56,62,31
92,8,77,66,92,39
100,8,100,65,62,39
100,7,100,62,40,36
93,8,93,45,59,43
48,8,48,34,43,26
64,6,51,44,37,64
35,6,31,33,35,24
56,7,26,35,56,36
67,8,67,57,60,31
63,7,44,63,54,23
40,6,33,24,40,30
39,6,39,25,32,24
39,5,39,29,36,29
45,3,45,35,37,26
47,6,34,35,47,29
45,6,45,37,42,38
31,5,31,19,29,26
47,9,47,28,32,27
64,7,64,31,37,11
71,6,71,33,46,13
61,6,45,61,52,26
40,6,33,30,40,35
64,6,64,41,45,46
74,6,74,53,43,46
63,11,49,52,63,44
87,9,87,39,51,42
59,9,50,46,59,40
45,8,45,23,26,30
42,8,38,35,42,42
51,7,51,36,35,45
62,8,46,44,62,47
54,8,48,31,54,37
41,8,41,25,41,35
58,7,48,51,58,30
101,7,101,59,78,33
97,7,47,85,97,26
84,6,84,53,54,42
74,6,74,34,32,32
41,3,41,22,20,11
87,6,87,26,35,29
133,6,133,43,35,35
93,7,93,56,55,43
87,7,87,37,36,37
71,7,71,37,35,46
151,8,151,53,51,54
59,8,50,43,59,41
44,7,44,29,37,26
50,5,50,29,33,37
77,5,77,42,42,36
133,5,133,51,54,40
101,6,101,51,48,23
74,8,54,44,74,39
71,9,71,37,57,39
108,8,108,45,67,29
93,8,67,44,93,36
105,7,105,32,51,23
49,6,49,21,44,22
77,8,77,32,51,30
46,9,42,33,46,32
43,5,43,20,28,8
80,6,80,25,33,25
46,7,46,36,35,30
51,6,51,29,35,38
46,7,46,29,35,25
49,5,49,29,36,27
47,7,36,30,47,42
48,7,48,23,48,17
53,7,49,22,53,26
112,7,112,29,47,36
71,7,71,41,58,28
56,6,48,46,56,30
63,6,47,46,63,38
80,6,80,36,37,34
49,7,49,25,34,24
45,7,42,25,45,23
43,6,39,24,43,28
51,6,51,38,38,35
43,7,43,31,40,38
39,7,39,31,37,30
43,8,43,29,26,33
61,9,61,36,53,47
47,7,47,29,36,29
43,7,43,35,40,32
67,8,67,47,35,30
51,6,44,51,51,28
43,6,43,29,35,26
54,8,54,35,43,24
70,8,49,51,70,38
38,7,38,21,34,24
37,7,37,22,23,28
38,6,38,19,20,26
77,8,77,38,37,43
31,8,31,22,26,26
52,6,42,42,52,28
44,6,39,44,27,22
39,6,39,24,35,13
48,5,48,25,41,17
39,6,39,28,34,26
45,7,45,30,45,29
67,9,54,50,67,37
58,6,54,58,45,35
44,7,44,28,43,24
48,7,48,21,38,18
43,6,39,26,43,30
64,7,64,35,48,41
77,7,77,51,64,46
48,7,43,48,47,42
35,7,35,21,33,22
71,7,71,41,52,23
44,7,44,33,39,29
43,2,37,43,27,37
44,5,35,33,44,32
40,5,38,37,40,33
56,6,47,56,42,30
56,5,46,56,55,34
61,5,61,30,37,21
31,3,28,20,31,9
33,3,33,19,33,15
40,6,38,26,40,21
44,6,44,31,32,35
74,8,74,62,58,50
71,7,71,58,43,46
90,8,90,52,58,42
44,7,44,22,36,21
35,3,30,22,29,35
44,7,41,29,40,44
46,8,37,39,46,43
50,6,48,50,41,39
52,6,49,52,47,41
66,6,51,51,66,23
54,6,54,29,48,34
39,5,39,24,37,35
52,6,46,47,47,52
47,5,47,44,38,30
30,3,30,22,19,23
34,3,28,34,32,28
36,5,36,33,28,20
29,5,25,20,25,29
82,3,26,24,82,26
26,3,23,21,18,26
31,3,31,19,17,25
43,5,29,42,43,30
43,5,37,37,43,30
43,8,43,27,35,33
29,3,29,19,27,17
43,7,37,43,36,36
68,11,42,68,57,55
95,11,45,93,95,62
51,6,46,51,38,43
30,3,30,19,18,25
41,5,33,41,32,37
46,8,39,46,38,39
70,7,39,70,62,52
69,6,37,73,69,32
46,5,35,35,45,46
43,3,27,36,43,27
60,3,31,60,57,26
29,3,19,29,28,20
51,5,27,21,25,51
31,7,22,20,31,15
26,2,26,21,20,17
31,2,28,28,25,31
72,5,32,72,61,48
90,5,49,90,54,39
61,3,61,55,58,21
54,3,46,52,54,13
52,3,42,48,52,25
48,3,31,32,48,33
42,6,24,22,42,30
64,6,32,39,43,64
49,7,34,36,49,44
70,10,33,51,70,45
72,9,32,46,72,47
71,6,29,37,71,37
78,6,43,69,78,58
67,6,48,55,67,47
56,5,43,56,50,30
83,5,41,44,83,31
33,5,33,21,33,12
29,5,29,19,24,26
34,5,31,29,34,30
39,3,24,37,39,28
59,5,33,59,51,39
73,5,41,73,53,30
54,3,19,54,26,21
25,2,25,18,20,19
47,7,31,16,47,32
61,7,32,51,61,44
57,5,29,19,57,34
45,5,26,14,45,30
51,3,24,19,51,25
33,3,24,23,33,19
40,3,28,31,40,23
29,3,27,17,29,17
56,9,27,49,56,42
70,10,31,70,70,58
70,9,22,57,70,48
67,6,26,27,67,40
57,6,28,21,57,33
49,5,31,23,49,33
44,5,31,14,44,30
47,7,22,24,47,44
52,3,29,19,52,23
32,3,24,22,32,18
33,3,19,22,33,25
40,3,23,40,28,20
33,3,25,16,33,23
35,3,23,19,35,25
55,3,17,43,55,24
73,7,19,36,73,27
89,7,14,42,89,27
58,5,31,18,58,30
56,5,22,20,56,21
64,6,19,19,64,20
37,6,15,11,37,21
51,7,25,17,51,25
59,3,25,22,59,21
51,3,23,14,51,22
35,3,19,18,35,24
37,3,22,19,37,21
38,5,24,18,38,12
34,3,25,14,34,19
59,7,19,44,59,42
65,7,20,44,65,24
72,6,18,31,72,40
69,7,24,28,69,23
32,6,28,32,30,11
30,3,30,25,24,15
30,3,29,15,30,28
46,3,24,17,46,44
59,5,22,22,59,37
56,3,32,20,56,22
43,3,23,15,43,20
55,5,19,19,55,25
67,6,11,27,67,29